ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
436	ADJ	màiru	s	m	magro									màghiru	màuru	magru													
437	NOUN	maisa	s	f	maggese																								
438	VERB	maisari			far la maggese																								
439	ADV	mala			malamente																								
440	ADJ	malaccriatu	s	m	screanzato	maleducato								malucriatu	malcriatu	malacriatu													
441	NOUN	malàfia	s	f	seta scadente	cattivi bozzoli								malàfria															
442	NOUN	malàfria	s	f	seta scadente	cattivi bozzoli								malàfia															
443	ADJ	malàfriu	s	m	malmesso																								
444	VERB	malanchicari			mal avventurarsi																								
445	NOUN	malassata	s	f	frittata d'uova																								
446	ADJ	malattusu	s	m	affettato																								
447	ADJ	maliabblatu	s	m	malacquisto																								
448	NOUN	malifà	s	m	malfattore																								
449	NOUN	mallarruni	s	m	scacciapensieri									malularruni															
450	ADJ	malòrtu	s	m	malfatto	deforme																							
451	NOUN	malubbarru	s	m	capriccio																								
452	VERB	malucchiari			tenere a bada con arte																								
453	ADJ	malucriatu	s	m	screanzato	maleducato								malaccriatu	malcriatu	malacriatu													
454	ADJ	malufinu	s	m	grazioso	graziosino																							
455	NOUN	malularruni	s	m	scacciapensieri									mallarruni															
456	ADJ	maluparatu	s	m	messo in brutte acque	messo in condizioni sfavorevoli	messo in condizione di inferiorità	approntato malamente	mal equipaggiato																				
457	ADJ	maluvivu	s	m	che è più morto che vivo	che vive	ma con difficoltà																						
458	PROPN	Mammadraga	s	f	mostro favoloso per far paura ai bambini	mostro che si nutriva di bambini																							
459	NOUN	mammaluccu	s	m	mammalucco	persona stupida	gonzo																						
460	NOUN	mammana	s	f	levatrice	ostetrica																							
461	ADJ	mammulinu	s	m	detto del bambino che non si stacca dalla mamma																								
462	NOUN	màmmulu	s	m	mammolo	bambino																							
463	NOUN	mamunetti			estremità di scarmi e d'ossature sporgenti sopra i castelli delle navi																								
464	NOUN	manciacia	s	f	prurito									manciacina															
465	NOUN	manciacina	s	f	prurito									manciacia															
466	NOUN	manciaciumi	s	m/f	prurito									manciasciumi															
467	NOUN	manciammàtula	s	m	scroccone																								
468	VERB	manciariari			mangiare spesso																								
469	NOUN	manciarizzu	s	m	mangiata smoderata																								
470	NOUN	manciasciumi	s	m/f	prurito									manciaciumi															
471	NOUN	manciatariu	s	m	qualcuno che usa mangiare molto	tacciato to di ghiottoneria	scroccone	sbafone																					
472	NOUN	manciù	s	m	prurito									mancìu															
473	NOUN	manciugghia	s	m	guadagno	mancia	bustarella data per ottenere un favore	mangeria						manciuglia	mancigghia														
474	NOUN	manciunarìa	s	f	ghiottoneria																								
475	VERB	manciuniari			mangiare spesso																								
476	ADV	mancu			meno	nemmeno	nemmanco																						
477	ADJ	mancusu	s	m	mancino									mancarusu															
478	NOUN	mandali	s	m	saliscendi																								
479	NOUN	mandarotu	s	m	mandriano									mandriotu															
480	NOUN	mandracchiu	s	m	pecorile		posto dove le pecore e le capre vengono raccolte per essere munte																						
481	VERB	mandriari			ridurre a quadrato un pezzo di terra	per impiantarvi la vigna																							
482	NOUN	mandriotu	s	m	mandriano	bovaro								mandarotu															
483	ADJ	mandruni	s	m	pigro																								
484	ADJ	mandruni	s	m	poltrone																								
485	NOUN	manfruni	s	m	mangione	ragazzo tarchiato e paffuto																							
486	ADJ	manfrusu	s	m	goffo	strano	barocco																						
487	NOUN	manganaru	s	m	chi lavora cavando seta dai bozzoli																								
488	NOUN	mànganu	s	m	strumento per cavare la seta dai bozzoli																								
489	NOUN	mangiamentu	s	m	prurito									manciamentu															
490	VERB	mangiari			mangiare									manciari															
491	NOUN	mangunarìa	s	f	tardanza																								
492	NOUN	mangunaru	s	m	infingardo	prigro	scanzafatiche	poltrone																					
493	VERB	maniari			maneggiare																								
494	NOUN	maniata	s	f	orma	traccia di selvaggina	o d'altri animali	o di uomo																					
495	NOUN	manìcula	s	f	cazzuola dei muratori	estremità della manica																							
496	ADJ	maniscu	s	m	maneggevole	manesco																							
497	ADJ	manìsculu	s	m	manesco	maneggevole																							
498	NOUN	manìu	s	m	maneggio																								
499	NOUN	maniuni	s	m	maneggione	intrallazzatore																							
500	ADJ	manìvuli	s	m	maneggevole																								
501	NOUN	manizza	s	f	specie di guanto senza dita																								
502	NOUN	manna	s	f	manna	covone	mannella	mannello																					
503	NOUN	mannicedda	s	f	piccolo lucignolo																								
504	NOUN	mànnira	s	f	mandra	gregge								mànnara															
505	NOUN	manorchia	s	f	coperchiella	frode	fraude	coperta	o altra simile cosa																				
506	NOUN	manta	s	f	coperta																								
507	VERB	mantaciari			ansimare									ammantaciari	ammantasciari	mantasciari													
508	NOUN	màntaciu	s	m	mantice	mantico								mànticiu	màntuciu	màntici													
509	NOUN	mantali	s	m	grembiule																								
510	NOUN	mantarru	s	m	vestito rustico									manterru															
511	NOUN	manteca	s	f	burro	grasso																							
512	NOUN	manterru	s	m	vestito rustico									mantarru															
513	NOUN	mantili	s	m	tovagliolo																								
514	NOUN	manu	s	m	mano																								
515	NOUN	manu	p	m	mani																								
516	NOUN	manùbbula	s	f	manovra																								
517	NOUN	manunca	s		moncherino																								
518	ADJ	manzu	s	m	mansueto									mansu															
519	NOUN	mappapani	s	m	scarafaggio									marpapani	marpapanu														
520	NOUN	mappina	s	f	strofinaccio	straccio	piccolo tovagliuolo																						
521	NOUN	marabbuttu	s	m	marabutto	ipocrita								marabuttu															
522	NOUN	maràfuli	p		rimasugli di baco da seta																								
523	NOUN	maragghiuni	s	m	murena maschio									margagghiuni	garaiuni	garajuni													
524	VERB	marammari			mettere in disordine	ingombrare	mettere tutto sossopra																						
525	NOUN	marammu	s	m	fabbrica	propriamente delle muraglie																							
526	NOUN	marancìculu	s	m	truffatore																								
527	NOUN	marancìtula	s	f	riccio di mare									boganzìtula	arancìtula														
528	NOUN	marascata	s	f	marea																								
529	NOUN	maraschinu	s	m	sorta di tessuto di cotone																								
530	NOUN	marascia	s	f	piccolo orcio																								
531	NOUN	màrcatu	s	m	mandra	gregge																							
532	VERB	marchiggiari			imbrogliare																								
533	NOUN	marchiggiu	s	m	tranello	insidia	inganno	trabocchetto	trappola																				
534	NOUN	màrdanu	s	m	piastrella che si innesta nel fuso per farlo girare meglio	fusaiolo	fusaiola							màrdinu															
535	NOUN	marfarata	s	f	cosa disdicevole																								
536	ADJ	marfusu	s	m	scaltrito	sagace																							
537	NOUN	margagghiuni	s	m	murena maschio									maragghiuni	garaiuni	garajuni													
538	NOUN	margiu	s	m	palude	acquitrino																							
539	NOUN	margu	s	m	ingorgo																								
540	NOUN	margunata	s	f	paglia sventolata e ammonticchiata sulla sponda dell'aia																								
541	NOUN	marianiggiu	s	m	infingimento																								
542	ADJ	marianu	s	m	mezzano	mediano								midianu	medianu														
543	ADJ	maricagnusu	s	m	paludoso																								
544	NOUN	mariolu	s	m	scacciapensieri																								
545	NOUN	màrisi	s	m	mare																								
546	NOUN	maritanna	s	f	fanciulla da sposare																								
547	NOUN	mariteddu	s	m	diminutivo di maritu	scaldino																							
548	ADJ	mariusu	s	m	misero	compassionevole																							
549	ADJ	marmànicu	s	m	strano	bizzarro	pazzo	stravagante	insensato	che ha alquanto di smania	maniaco			smammànicu	smarmànicu														
550	NOUN	marmaruca	s	f	stizza	collera	rabbia	irritazione	disappunto																				
551	VERB	marmugghiari			impigliarsi																								
552	NOUN	marozzu	s	m	piccolo insetto simile alla chiocciola senza il guscio che danneggia le piante degli ortaggi	lumaca	bruco																						
553	NOUN	marpapani	s	m	scarafaggio									mappapani	marpapanu														
554	NOUN	marpapanu	s	m	scarafaggio									mappapani	marpapani														
555	NOUN	marpiuni	s	m	uomo astuto	imbroglione	truffatore	uomo spregiudicato																					
556	ADJ	marranchinu	s	m	zoppo	tristo																							
557	NOUN	marranchinu	s	m	ladro																								
558	ADJ	marranu	s	m	zoppo																								
559	NOUN	marranzanu	s	m	scacciapensieri																								
560	NOUN	marrastra	s	f	madrigna									matrastra															
561	NOUN	marredda	s	f	marredda																								
562	VERB	marriddiari			cavillare																								
563	NOUN	marriversu	s	m	manrovescio									manriversu															
564	NOUN	marrubbia	s	f	flusso di mare																								
565	NOUN	marruggiu	s	m	manico																								
566	ADJ	marruni	s	m	marrone																								
567	NOUN	marti	s	m	martedì									martidìa															
568	ADJ	marticanu	s	m	che ha un solo occhio																								
569	NOUN	martinella	s	f	macchinazione																								
570	NOUN	martinettu	s	m	rondine																								
571	NOUN	martogghiu	s	m	piccolo topo simile al ghiro																								
572	NOUN	martoriu	s	m	suonata a morto delle campane																								
573	NOUN	martuzzu	s	m	uomo brutto																								
574	NOUN	martuffu	s	m	uomo grossolano																								
575	VERB	marturiari			suonare a morto																								
576	NOUN	martuzza	s	f	bertuccia																								
577	NOUN	marucortusiu	s	m	maro	teucrio								erva di malupirtusu															
578	NOUN	marufella	s	f	il sughero di migliore qualità																								
579	NOUN	marvizzu	s	m	tordo sassello	malvizzo								marbizzu															
580	NOUN	marvizzu	s	m	tordo bottaccio									marbizzu															
581	NOUN	marzamareddu	s	m	incubo	demonio	tromba d'aria	turbine	remolino					mazzamareddu	mazzamarieddu	mazzamaureddu	mazzamaurieddu	ammazzamareddu	mazzumaurieddu										
582	NOUN	marzapani	s	m	marzapane									mazzapani	marzipani														
583	VERB	marziari			essere incostante																								
584	NOUN	mascalisa	s	f	fagiolo rosso																								
585	ADJ	mascaratu	s	m	sfacciato	eccessivamente ardito e disinvolto																							
586	VERB	mascariari			tingere	macchiare di nero	scarabocchiare																						
587	VERB	maschiari			sparare mortaretti																								
588	NOUN	masciareri	s	m	arruffone																								
589	NOUN	màsciaru	s	m	danno	rottura																							
590	NOUN	mascidda	s	f	mascella																								
591	NOUN	mascidderi	s	m	guanciale																								
592	NOUN	mascu	s	m	cartoccio pieno di polvere da sparo	bomba																							
593	NOUN	masicàntaru	s	m	sputasentenze																								
594	ADV	masinnò			altrimenti	sennò								vasinnò															
595	NOUN	massarìa	s	f	masseria	azienda rurale																							
596	NOUN	massaru	s	m	massaio	fattore	facchino																						
597	NOUN	massu	s	m	gran quantità	ammasso																							
598	NOUN	màstica	s	f	mutria	sussieguo																							
599	NOUN	masticogna	s	f	mangiata																								
600	ADJ	masticusu	s	m	pieno di mutria																								
601	NOUN	mastramèusa	s	f	ceffone	schiaffo																							
